A	B	C	D	E	F	G	H	I	J
79.296	-26.98875	-24.05344	-20.95336	-17.38033	-14.63347	-11.21353	-7.40262	-4.74597	-2.4241
79.344	-26.96243	-24.03547	-21.00428	-17.10945	-14.63175	-11.01739	-7.26575	-4.56953	-2.22782
79.392	-26.97054	-24.0294	-20.96448	-16.66805	-14.60961	-10.94544	-7.40313	-4.55155	-2.08928
79.44	-26.92004	-24.02597	-20.78752	-16.50935	-14.43923	-10.77992	-7.65117	-4.6527	-1.95615
79.488	-26.97388	-24.02624	-20.66575	-16.52724	-14.28331	-10.59356	-7.91023	-4.94123	-2.01648
79.536	-26.97212	-24.02518	-20.63651	-16.84547	-14.15278	-10.64546	-7.98951	-4.97983	-1.85065
79.584	-26.92805	-24.06229	-20.7271	-17.26996	-13.71685	-10.67715	-7.88387	-5.28083	-1.92608
79.632	-26.91916	-24.02601	-20.84104	-17.56433	-13.48429	-10.32708	-7.60057	-5.39491	-1.98516
79.68	-26.90929	-24.03801	-20.88307	-17.6905	-13.24627	-10.12093	-7.63106	-5.39583	-1.92682
79.728	-26.89719	-24.04543	-20.82529	-17.71121	-13.10712	-9.97011	-7.82025	-5.43758	-2.03993
79.776	-26.95094	-24.059	-20.75337	-17.7576	-12.85121	-10.09888	-7.81687	-5.44977	-2.18737
79.824	-26.95437	-24.05002	-20.62234	-17.66789	-13.05448	-10.20439	-7.8872	-5.31822	-2.32184
79.872	-26.95571	-24.05692	-20.35057	-17.37092	-13.16819	-9.97669	-7.83155	-5.18996	-2.30288
79.92	-26.91281	-24.00034	-20.33366	-16.73533	-13.53165	-10.07117	-7.88971	-5.17708	-2.48128
79.968	-26.93959	-23.94956	-20.44705	-16.36145	-13.90549	-10.15091	-7.88257	-5.29348	-2.40515
80.016	-26.97077	-23.99214	-20.65991	-16.08232	-13.92889	-10.36489	-7.97158	-5.18992	-2.21021
80.064	-26.93227	-23.99043	-20.78979	-16.19376	-13.94348	-10.37059	-8.01769	-4.9302	-2.27239
80.112	-26.91971	-23.97713	-20.76834	-16.59934	-13.7238	-10.22792	-8.11949	-4.62411	-2.01778
80.16	-26.89316	-24.05979	-20.80101	-17.03059	-13.43059	-10.29307	-8.10989	-5.00003	-2.0725
80.208	-26.90456	-23.95887	-20.73604	-17.21523	-13.3065	-10.35317	-8.06189	-5.15113	-2.20377
80.256	-26.90581	-23.90424	-20.30836	-17.30207	-13.15934	-10.16444	-8.05675	-5.09372	-2.39963
80.304	-26.91651	-23.99293	-19.73625	-17.49079	-13.13691	-10.02442	-8.17699	-5.13895	-2.48387
80.352	-26.91638	-23.99798	-19.84741	-17.48565	-12.76669	-10.34979	-7.99378	-5.19446	-2.42484
80.4	-26.93389	-23.97416	-20.24428	-17.34627	-12.62916	-10.45914	-7.67749	-5.09979	-1.97246
80.448	-26.98296	-23.97495	-20.39052	-16.99176	-12.49373	-10.39918	-7.47236	-5.10929	-1.87242
80.496	-26.97471	-23.93974	-20.42694	-16.40468	-12.27141	-10.72071	-7.71817	-5.06435	-1.92668
80.544	-26.91633	-23.89595	-20.56942	-15.78146	-12.38066	-10.82139	-8.0314	-4.70367	-1.88239
80.592	-26.88403	-23.88172	-20.48768	-15.70265	-12.55521	-10.82441	-8.05327	-4.52124	-2.08701
80.64	-26.89603	-23.84581	-20.12974	-15.70408	-12.54798	-10.73299	-8.02116	-4.91593	-2.05726
80.688	-26.87036	-23.81889	-19.86836	-16.24751	-12.98572	-10.69429	-7.81673	-5.24237	-2.01653
80.736	-26.91304	-23.84164	-19.99096	-16.69984	-12.93285	-10.3117	-7.72392	-5.45894	-2.2293
80.784	-26.94362	-23.87931	-20.10036	-16.63562	-12.85037	-9.97854	-7.75353	-5.63636	-2.3116
80.832	-26.95812	-23.91708	-20.18863	-16.4721	-12.87034	-9.79162	-7.86163	-5.69544	-2.37943
80.88	-26.9262	-23.91263	-20.17922	-16.4297	-13.02274	-9.823	-8.20956	-5.72811	-2.35561
80.928	-26.93598	-23.9029	-20.12316	-16.45801	-13.22555	-10.09791	-8.41034	-5.66639	-2.57247
80.976	-26.88955	-23.78813	-20.09267	-16.41701	-13.47498	-10.05657	-8.64855	-5.75832	-2.34996
